CustomerId,CustomerTypeId,CustomerRelationshipTypeId,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy
CID-017,Government,Utility-Offtake-17,1977-05-18,2016-11-03,True,Skyler,Shah,Non-binary,(555) 010-0017,,offtaker017@example.com,,RenewablePack
CID-018,Business,Corporate-24x7-CFE-18,1977-10-02,2017-01-03,True,Quinn,Nguyen,Female,(555) 010-0018,,offtaker018@example.com,,RenewablePack
CID-019,Business,Municipal-Green-Tariff-19,1978-02-16,2017-03-05,True,Rowan,Carter,Male,(555) 010-0019,,offtaker019@example.com,,RenewablePack
CID-020,Government,Community-Solar-Sponsor-20,1978-07-03,2017-05-05,True,Parker,Patel,Female,(555) 010-0020,(555) 011-0020,offtaker020@example.com,settlements020@example.com,RenewablePack
CID-021,Business,REC-Settlement-21,1978-11-17,2017-07-05,True,Avery,Reed,Male,(555) 010-0021,,offtaker021@example.com,,RenewablePack
CID-022,Government,Interconnection-Partner-22,1979-04-03,2017-09-04,True,Jordan,Solaris,Female,(555) 010-0022,,offtaker022@example.com,,RenewablePack
CID-023,Business,Asset-CoOwner-23,1979-08-18,2017-11-04,True,Morgan,Hayes,Male,(555) 010-0023,,offtaker023@example.com,,RenewablePack
CID-024,Business,Storage-Tolling-24,1980-01-02,2018-01-04,True,Riley,Windsor,Female,(555) 010-0024,(555) 011-0024,offtaker024@example.com,,RenewablePack
CID-025,Government,Utility-Offtake-25,1980-05-18,2018-03-06,True,Casey,Brooks,Male,(555) 010-0025,,offtaker025@example.com,settlements025@example.com,RenewablePack
CID-026,Business,Corporate-24x7-CFE-26,1980-10-02,2018-05-06,False,Taylor,Mendez,Female,(555) 010-0026,,offtaker026@example.com,,RenewablePack
CID-027,Government,Municipal-Green-Tariff-27,1981-02-16,2018-07-06,True,Skyler,Shah,Male,(555) 010-0027,,offtaker027@example.com,,RenewablePack
CID-028,Business,Community-Solar-Sponsor-28,1981-07-03,2018-09-05,True,Quinn,Nguyen,Female,(555) 010-0028,(555) 011-0028,offtaker028@example.com,,RenewablePack
CID-029,Business,REC-Settlement-29,1981-11-17,2018-11-05,True,Rowan,Carter,Male,(555) 010-0029,,offtaker029@example.com,,RenewablePack
CID-030,Government,Interconnection-Partner-30,1982-04-03,2019-01-05,True,Parker,Patel,Female,(555) 010-0030,,offtaker030@example.com,settlements030@example.com,RenewablePack
CID-031,Business,Asset-CoOwner-31,1982-08-18,2019-03-07,True,Avery,Reed,Male,(555) 010-0031,,offtaker031@example.com,,RenewablePack
CID-032,Government,Storage-Tolling-32,1983-01-02,2019-05-07,True,Jordan,Solaris,Female,(555) 010-0032,(555) 011-0032,offtaker032@example.com,,RenewablePack
CID-033,Business,Utility-Offtake-33,1983-05-19,2019-07-07,True,Morgan,Hayes,Male,(555) 010-0033,,offtaker033@example.com,,RenewablePack
CID-034,Business,Corporate-24x7-CFE-34,1983-10-03,2019-09-06,True,Riley,Windsor,Non-binary,(555) 010-0034,,offtaker034@example.com,,RenewablePack
CID-035,Government,Municipal-Green-Tariff-35,1984-02-17,2019-11-06,True,Casey,Brooks,Male,(555) 010-0035,,offtaker035@example.com,settlements035@example.com,RenewablePack
CID-036,Business,Community-Solar-Sponsor-36,1984-07-03,2020-01-06,True,Taylor,Mendez,Female,(555) 010-0036,(555) 011-0036,offtaker036@example.com,,RenewablePack
CID-037,Government,REC-Settlement-37,1984-11-17,2020-03-07,True,Skyler,Shah,Male,(555) 010-0037,,offtaker037@example.com,,RenewablePack
CID-038,Business,Interconnection-Partner-38,1985-04-03,2020-05-07,True,Quinn,Nguyen,Female,(555) 010-0038,,offtaker038@example.com,,RenewablePack
CID-039,Business,Asset-CoOwner-39,1985-08-18,2020-07-07,False,Rowan,Carter,Male,(555) 010-0039,,offtaker039@example.com,,RenewablePack
CID-040,Government,Storage-Tolling-40,1986-01-02,2020-09-06,True,Parker,Patel,Female,(555) 010-0040,(555) 011-0040,offtaker040@example.com,settlements040@example.com,RenewablePack
CID-041,Business,Utility-Offtake-41,1986-05-19,2020-11-06,True,Avery,Reed,Male,(555) 010-0041,,offtaker041@example.com,,RenewablePack
CID-042,Government,Corporate-24x7-CFE-42,1986-10-03,2021-01-06,True,Jordan,Solaris,Female,(555) 010-0042,,offtaker042@example.com,,RenewablePack
CID-043,Business,Municipal-Green-Tariff-43,1987-02-17,2021-03-08,True,Morgan,Hayes,Male,(555) 010-0043,,offtaker043@example.com,,RenewablePack
CID-044,Business,Community-Solar-Sponsor-44,1987-07-04,2021-05-08,True,Riley,Windsor,Female,(555) 010-0044,(555) 011-0044,offtaker044@example.com,,RenewablePack
CID-045,Government,REC-Settlement-45,1987-11-18,2021-07-08,True,Casey,Brooks,Male,(555) 010-0045,,offtaker045@example.com,settlements045@example.com,RenewablePack
CID-046,Business,Interconnection-Partner-46,1988-04-03,2021-09-07,True,Taylor,Mendez,Female,(555) 010-0046,,offtaker046@example.com,,RenewablePack
CID-047,Government,Asset-CoOwner-47,1988-08-18,2021-11-07,True,Skyler,Shah,Male,(555) 010-0047,,offtaker047@example.com,,RenewablePack
CID-048,Business,Storage-Tolling-48,1989-01-02,2022-01-07,True,Quinn,Nguyen,Female,(555) 010-0048,(555) 011-0048,offtaker048@example.com,,RenewablePack
CID-049,Business,Utility-Offtake-49,1989-05-19,2022-03-09,True,Rowan,Carter,Male,(555) 010-0049,,offtaker049@example.com,,RenewablePack
CID-050,Government,Corporate-24x7-CFE-50,1989-10-03,2022-05-09,True,Parker,Patel,Female,(555) 010-0050,,offtaker050@example.com,settlements050@example.com,RenewablePack
